Word,Frequency,Score
this,15163.0,2.73850821077627
climbs,1499.0,2.7284189459639783
name,350.0,2.651142857142856
its,2919.0,2.7634806440561857
not,3265.0,2.678009188361411
dirty,627.0,2.403668261562998
and,46607.0,2.7632887763641154
has,1948.0,2.718891170431212
some,5251.0,2.733269853361244
very,2502.0,2.7626298960831397
good,4802.0,2.7166389004581224
finger,1496.0,2.9277406417112353
crack,13294.0,2.7636527756882896
climb,14944.0,2.719271948608163
place,982.0,2.769755600814666
gear,4468.0,2.801141450313329
but,6691.0,2.7276341354057436
the,135773.0,2.738447261237292
easier,1846.0,2.8017334777898153
exit,579.0,2.7203799654576843
top,8262.0,2.682607116920826
finish,1467.0,2.7717109747784616
there,4246.0,2.6645548751766244
lichen,318.0,2.2531446540880498
dirt,242.0,2.238842975206612
right,17162.0,2.7015499359049504
side,3358.0,2.63106015485408
you,13075.0,2.77817208413002
can,4879.0,2.751526952244303
step,2216.0,2.7698555956678677
near,1117.0,2.6267681289167486
pine,609.0,2.438423645320198
tree,3669.0,2.4849005178522736
have,1993.0,2.762418464626198
too,579.0,2.6963730569948154
into,4246.0,2.777649552520006
corner,8293.0,2.7405522730013123
with,13618.0,2.781091202819799
jam,438.0,2.8317351598173492
after,2329.0,2.789179905538864
ends,840.0,2.7323809523809506
crux,4913.0,2.875676775900652
move,4655.0,2.749323308270673
rock,5773.0,2.5691668110167885
then,7968.0,2.741490963855404
belay,13441.0,2.760374972100301
free,733.0,2.802182810368347
first,6037.0,2.7615206228258984
second,3512.0,2.7360193621867905
part,587.0,2.7109028960817727
pitch,21424.0,2.8040001867065336
two,5893.0,2.7862379093839995
was,2475.0,2.6544242424242492
done,968.0,2.8091942148760345
went,267.0,2.61198501872659
steep,2816.0,2.8302911931818215
alcove,506.0,2.6812252964426886
ceiling,135.0,2.265925925925926
way,2922.0,2.767727583846691
angle,1282.0,2.5697347893915787
pin,855.0,2.7472514619883057
onto,2123.0,2.6583137070183707
ramp,1330.0,2.5875939849624077
dangerous,100.0,2.609000000000001
511c,193.0,3.2020725388601035
starting,367.0,2.691553133514987
often,210.0,2.8590476190476193
facing,1787.0,2.7394515948517064
dihedral,2491.0,2.7022882376555626
through,3731.0,2.7885821495577403
notch,556.0,2.618165467625903
jug,267.0,2.946816479400749
cut,166.0,2.71265060240964
left,16811.0,2.705853310332551
mantle,467.0,2.8471092077087787
ledge,11594.0,2.70832327065722
bomber,228.0,2.8337719298245596
interesting,567.0,2.667195767195766
slab,5021.0,2.659171479784887
placing,280.0,2.8407142857142844
small,4623.0,2.768894657149022
before,1653.0,2.7849364791288607
clipping,442.0,2.9418552036199084
bolt,9271.0,2.853111854168897
continue,5224.0,2.7360643185298534
climbing,6977.0,2.830872867994822
bulges,209.0,2.778947368421052
split,168.0,2.7160714285714285
size,296.0,2.8118243243243235
fingers,510.0,3.04078431372549
thin,2342.0,2.9190435525192204
hands,926.0,3.0242980561555104
natural,299.0,2.756521739130435
anchor,7577.0,2.8170516035370072
layback,405.0,2.9128395061728396
flake,2250.0,2.7499111111111136
face,7533.0,2.7369706624186874
past,4293.0,2.7876310272536577
wander,193.0,2.5637305699481883
one,4620.0,2.809999999999988
more,3600.0,2.7612222222222216
bolted,2527.0,2.938266719430156
130,249.0,2.6795180722891563
feet,5974.0,2.66546702376966
straight,2888.0,2.7815096952908602
bolts,7939.0,2.89593147751606
creative,66.0,2.7833333333333337
placements,471.0,2.7331210191082778
party,214.0,2.659813084112149
bowl,90.0,2.693333333333333
feature,585.0,2.8056410256410222
rap,3371.0,2.7953722930880986
from,9844.0,2.723171475010145
here,3054.0,2.7233136869679173
note,577.0,2.7823223570190656
since,257.0,2.7334630350194553
guide,449.0,2.618708240534522
slightly,1366.0,2.7388726207906346
lead,1021.0,2.811361410381985
belayed,133.0,2.6639097744360907
rain,78.0,2.81923076923077
while,610.0,2.8036065573770497
mark,97.0,2.6288659793814437
working,100.0,2.9339999999999997
finished,56.0,2.6892857142857145
later,162.0,2.782716049382717
100,1431.0,2.7313766596785523
intermittent,80.0,2.65125
cracks,2108.0,2.6858633776091096
lowangle,148.0,2.5864864864864883
about,3769.0,2.6744494560891403
above,5039.0,2.720559634848166
2bolt,327.0,2.8223241590214037
station,861.0,2.787456445993033
just,3349.0,2.7044490892803856
scramble,1519.0,2.594009216589867
head,2313.0,2.731820146995246
make,2186.0,2.856038426349499
your,3832.0,2.800052192066799
blocky,408.0,2.621813725490195
lone,74.0,2.7391891891891893
toward,380.0,2.55578947368421
below,3412.0,2.7298358733880335
roof,6013.0,2.8630966239813627
passing,859.0,2.7513387660069872
occasional,173.0,2.7184971098265893
placement,309.0,2.7042071197410995
lot,430.0,2.6962790697674377
solid,795.0,2.6817610062893062
than,1446.0,2.74564315352697
looks,501.0,2.6241516966067855
quite,490.0,2.726122448979592
slippery,81.0,2.7444444444444445
due,326.0,2.6248466257668723
probably,867.0,2.6189158016147616
idea,112.0,2.7937500000000006
test,74.0,2.832432432432433
holds,1716.0,2.8364219114219207
them,447.0,2.7626398210290852
youre,481.0,2.767151767151766
usually,85.0,2.8729411764705883
long,2011.0,2.823520636499254
ways,312.0,2.7887820512820505
spacious,106.0,2.7905660377358497
out,4904.0,2.776039967373562
brushy,75.0,2.0733333333333337
gain,1218.0,2.798686371100162
broken,590.0,2.594915254237286
system,2278.0,2.6921422300263442
book,483.0,2.6952380952380928
shows,83.0,2.720481927710843
another,2903.0,2.7767137444023477
variation,821.0,2.7510353227771023
follow,3840.0,2.757578124999989
towards,763.0,2.748492791612055
buttress,906.0,2.5741721854304624
beware,124.0,2.537903225806451
loose,1551.0,2.3718246292714413
especially,154.0,2.748051948051948
when,1341.0,2.763460104399703
traverse,4417.0,2.7851935702965673
back,3016.0,2.7516909814323656
over,2848.0,2.7174859550561834
belayer,253.0,2.6581027667984185
build,476.0,2.7216386554621814
trad,403.0,2.7330024813895766
great,2235.0,2.941968680089486
that,7084.0,2.713128176171637
low,1050.0,2.5826666666666704
ridge,1229.0,2.449715215622459
spring,73.0,2.8150684931506853
route,10123.0,2.740590733972137
